groupement_siren,adhesion_siren
200027308,255201816
200027308,255202335
200027308,255202467
200027308,255202483
200027308,255202541
200027381,200005940
200028074,256103698
200028488,253403216
200029023,257603639
200029734,200078095
200029734,200079085
200029734,200079259
200029734,200088573
200029734,200091700
200029734,200096980
200029734,251600060
200029734,251600409
200029734,251600961
200029734,251601464
200029734,251601498
200029734,251601761
200029734,251601944
200029734,251602660
200029734,251602769
200029734,251602777
200029734,251602785
200029833,250601879
200029999,200078004
200029999,250100229
200029999,250102258
200029999,250102365
200030195,200000586
200030195,200014801
200030195,200039410
200030195,200061182
200030195,200071397
200030195,250601879
200030195,250602034
200030195,250602059
200030195,250602117
200030195,250602174
200030310,251101648
200030385,200032563
200030385,200046050
200030385,200050136
200030385,200078475
200030385,200086171
200030385,200091098
200030385,200091106
200030385,200091114
200030385,200091122
200030385,200091163
200030385,200095198
200030385,254100092
200030385,254103054
200030385,254103179
200030385,254103237
200030385,254177843
200030385,254502008
200030435,200004141
200030435,200020295
200030435,200040020
200030435,200045201
200030435,200045631
200030435,200047074
200030435,200075117
200030435,200078103
200030435,200079366
200030435,200087328
200030435,200096725
200030435,253200992
200030435,254001399
200030435,254002223
200030435,254002264
200030435,254003304
200030526,200000461
200030526,200069680
200030526,200090546
200030526,256701152
200030526,256702960
200030526,256802745
200030633,200007862
200030633,200017598
200030633,200041895
200030633,200046191
200030633,200075489
200030633,200078681
200030633,255900953
200030633,255902009
200030633,255902108
200030633,255902330
200030633,255902710
200030633,255902884
200030658,252600192
200030658,253804314
200030658,253805105
200030658,253805162
200030674,200044584
200030674,200051498
200030674,200053296
200030674,200053338
200030674,200053346
200030674,200053528
200030674,200073625
200030674,200081735
200030674,200087989
200030674,200094597
200030674,200097335
200030674,253300636
200030674,254702384
200030674,254702392
200030674,254702483
200030674,254702491
200030674,254702533
200030674,254702582
200031532,250601879
200032332,254002264
200032514,200033140
200032514,200041481
200032514,200078491
200032514,200079036
200032514,241800549
200032514,251801817
200032514,251802179
200032514,251887873
200032860,254003304
200032886,254003304
200032894,254003304
200033025,200049906
200033025,200100469
200033025,255501918
200033025,255502510
200033090,200036481
200033090,200048569
200033090,200048734
200033090,200079770
200033090,200087096
200033090,200091643
200033090,200095909
200033090,257701151
200033090,257701391
200033090,257704916
200033090,257705012
200033090,257705327
200033090,257705632
200033116,200001402
200033116,200006708
200033116,200062032
200033116,200077824
200033116,247400799
200033116,257400150
200033116,257401943
200033116,257402198
200033116,257402354
200033116,989160122
200033173,200059525
200033173,200062248
200033173,200062321
200033173,247800477
200033173,257800300
200033173,257801290
200033173,257802041
200033173,257802074
200033173,259100907
200033181,200030666
200033181,200038693
200033181,200042893
200033181,200080869
200033181,200102317
200033181,252800248
200033181,252803374
200033181,252855622
200033181,252855697
200033181,252855705
200033181,252855903
200033298,200017689
200033298,200061778
200033298,200077626
200033298,200077667
200033298,200077675
200033298,200077691
200033298,200077725
200033298,200082295
200033298,200087401
200033298,200087419
200033298,200091742
200033298,255300493
200033298,255300527
200033298,256102229
200033462,200025237
200033462,200036531
200033462,255003592
200033579,200023505
200033579,200046191
200033579,200069466
200033579,200074888
200033579,200077709
200033579,256203100
200033579,256204074
200033579,991210980
200033827,200009827
200033868,200043131
200033868,200050920
200033868,200051738
200033868,200097434
200033868,256802752
200033868,258801901
200033868,258802560
200033868,258803386
200033868,258803493
200033868,259000032
200033926,200043115
200034023,200002517
200034023,200020220
200034023,200053544
200034023,200062628
200034023,200075711
200034023,200078582
200034023,200079515
200034023,200093441
200034023,243100575
200034023,253101828
200034023,258100932
200034023,258101963
200034031,200002517
200034031,200049161
200034031,200051381
200034031,200063709
200034031,200091072
200034031,258100932
200034031,258101963
200034031,258102169
200034031,258102458
200034049,200002517
200034049,200049161
200034049,200091676
200034049,200091692
200034049,258101963
200034049,258102169
200034049,258102458
200034056,200053544
200034056,258100544
200034056,258101963
200034056,258102169
200034064,200035483
200034064,200049161
200034064,200082071
200034064,200096691
200034064,200099968
200034064,200103166
200034064,251201430
200034064,258101989
200034064,258102169
200034064,258102441
200034098,200006708
200034098,200062255
200034098,200077824
200034098,247400799
200034098,257401943
200034098,257402651
200034098,989160122
200034130,200010692
200034130,200037232
200034130,200037240
200034130,200037257
200034130,200045029
200034130,200062248
200034130,200089316
200034130,247800055
200034130,257800300
200034130,257800375
200034197,200045771
200034197,200075729
200034197,200082048
200034197,252402193
200034197,252405329
200034197,252460381
200034197,253303499
200034205,200009827
200034270,200086197
200034270,256701152
200034270,256702804
200034270,256702812
200034270,256702960
200034379,200074920
200034379,253001135
200034379,253001549
200034379,253002018
200034379,253002349
200034379,253002711
200034379,253002950
200034379,253003065
200034379,253003313
200034379,253003438
200034411,253002539
200034411,253002711
200034411,253002869
200034411,253002950
200034411,253003065
200034601,200014587
200034601,200039543
200034601,200075794
200034601,200078673
200034601,200080547
200034601,200091197
200034601,200093797
200034601,251201471
200034601,253002711
200034601,253002869
200034601,253003065
200034635,200052546
200034635,200089936
200034635,256701152
200034635,256702705
200034692,200011195
200034692,200023943
200034692,200035368
200034692,200037935
200034692,200048098
200034692,200054765
200034692,200078806
200034692,200091817
200034692,240700658
200034692,250601879
200034692,253001622
200034692,253002349
200034692,253003065
200034700,200025070
200034700,200048676
200034700,250400322
200034700,250400611
200034700,250400819
200034700,250400868
200034700,250401072
200034700,258402304
200034700,258402346
200034700,939223194
200034718,200061083
200034718,200089548
200034718,200099125
200034718,245100219
200034718,255100018
200034718,255100166
200034718,255100521
200034718,255100711
200034718,255101917
200034718,255102089
200034718,255102493
200034718,255102592
200034726,200039279
200034726,200039899
200034726,200048593
200034726,200052439
200034726,200074102
200034726,200079127
200034726,200079960
200034726,200082188
200034726,200085967
200034726,200090694
200034726,243200318
200034726,253200356
200034726,253201065
200034726,253201487
200034726,258200013
200034742,255502262
200034825,200002434
200034825,200010387
200034825,200079671
200034825,200079689
200034825,200081735
200034825,200093185
200034825,200093193
200034825,200100212
200034825,252309646
200034825,252309653
200034825,252326079
200034825,258728658
200034825,995084845
200034833,200027134
200034833,200040962
200034833,200040970
200034833,200045771
200034833,200073625
200034833,200099844
200034833,252402482
200034833,252403894
200034833,252405329
200034833,254702384
200034874,200046647
200034874,200050946
200034874,200097137
200034874,255403719
200034874,255501124
200034874,255501991
200034882,200035061
200034882,200077824
200034882,257400663
200034882,257401943
200034957,200002517
200034957,200003507
200034957,200023596
200034957,200041655
200034957,200055002
200034957,200062628
200034957,200079515
200034957,243100211
200034957,253101067
200034957,253101828
200034957,253101927
200034957,253102438
200034957,253102636
200035061,939343356
200035087,200076289
200035087,200087385
200035087,200089209
200035087,251302154
200035087,251302311
200035087,258402304
200035095,256701152
200035095,256701251
200035103,200052447
200035103,200075802
200035103,200092187
200035103,200097400
200035103,200097517
200035103,200097681
200035103,200097756
200035103,200097764
200035103,200097814
200035103,256102195
200035103,256102229
200035103,256102922
200035103,256103177
200035103,256103698
200035103,256103888
200035103,256104019
200035111,200031524
200035111,200051282
200035111,200052355
200035111,200052447
200035111,200052751
200035111,200092187
200035111,200097400
200035111,200097517
200035111,200097749
200035111,256101668
200035111,256102195
200035111,256102229
200035111,256103698
200035111,256104019
200035111,256104035
200035111,938942729
200035129,250700218
200035129,253002018
200035129,253002349
200035129,253003065
200035129,253003115
200035129,253003370
200035137,200022382
200035137,200046308
200035137,200079663
200035137,200079721
200035137,253601587
200035137,253609937
200035202,200013340
200035202,200024917
200035202,200030476
200035202,200049237
200035202,200049971
200035202,200089712
200035202,200094662
200035202,254200546
200035202,254201387
200035202,254202104
200035202,254202179
200035319,200028017
